GMT,Net_pwr,Boat
8/1/2019 21:20,21239.90146,Falcon
8/1/2019 21:30,15929.7223,Falcon
8/1/2019 21:40,9809.293913,Falcon
8/1/2019 21:50,6013.047168,Falcon
8/1/2019 22:00,3081.594763,Falcon
8/1/2019 22:10,1836.104069,Falcon
8/1/2019 22:20,303.3213535,Falcon
8/1/2019 22:30,0,Falcon
8/1/2019 22:40,0,Falcon
8/1/2019 22:50,776.1814976,Falcon
8/1/2019 23:00,9141.007418,Falcon
8/1/2019 23:10,15153.78051,Falcon
8/1/2019 23:20,22413.07034,Falcon
8/1/2019 23:30,27529.15629,Falcon
8/1/2019 23:40,35714.99374,Falcon
8/1/2019 23:50,44401.96287,Falcon
8/2/2019 0:00,56955.60928,Falcon
8/2/2019 0:10,71274.3857,Falcon
8/2/2019 0:20,90343.15008,Falcon
8/2/2019 0:30,113295.0827,Falcon
8/2/2019 0:40,141860.3331,Falcon
8/2/2019 0:50,178864.0404,Falcon
8/2/2019 1:00,194149.5321,Falcon
8/2/2019 1:10,194149.5321,Falcon
8/2/2019 1:20,194149.5321,Falcon
8/2/2019 1:30,194149.5321,Falcon
8/2/2019 1:40,194149.5321,Falcon
8/2/2019 1:50,194149.5321,Falcon
8/2/2019 2:00,194149.5321,Falcon
8/2/2019 2:10,194149.5321,Falcon
8/2/2019 2:20,194149.5321,Falcon
8/2/2019 2:30,194149.5321,Falcon
8/2/2019 2:40,194149.5321,Falcon
8/2/2019 2:50,194149.5321,Falcon
8/2/2019 3:00,194149.5321,Falcon
8/2/2019 3:10,194149.5321,Falcon
8/2/2019 3:20,194149.5321,Falcon
8/2/2019 3:30,194149.5321,Falcon
8/2/2019 3:40,179781.6427,Falcon
8/2/2019 3:50,150950.1684,Falcon
8/2/2019 4:00,119811.2518,Falcon
8/2/2019 4:10,92089.37538,Falcon
8/2/2019 4:20,67433.95952,Falcon
8/2/2019 4:30,43301.08344,Falcon
8/2/2019 4:40,27433.18716,Falcon
8/2/2019 4:50,14468.17241,Falcon
8/2/2019 5:00,3184.436087,Falcon
8/2/2019 5:10,0,Falcon
8/2/2019 5:20,11647.80986,Falcon
8/2/2019 5:30,30953.48508,Falcon
8/2/2019 5:40,65824.05167,Falcon
8/2/2019 5:50,49959.66081,Falcon
8/2/2019 6:00,159045.9416,Falcon
8/2/2019 6:10,124105.0402,Falcon
8/2/2019 6:20,132598.0776,Falcon
8/2/2019 6:30,111043.3573,Falcon
8/2/2019 6:40,109689.4714,Falcon
8/2/2019 6:50,108588.6476,Falcon
8/2/2019 7:00,116450.5941,Falcon
8/2/2019 7:10,140127.4475,Falcon
8/2/2019 7:20,157259.8611,Falcon
8/2/2019 7:30,155272.0971,Falcon
8/2/2019 7:40,150554.6668,Falcon
8/2/2019 7:50,143771.9417,Falcon
8/2/2019 8:00,135601.3084,Falcon
8/2/2019 8:10,124038.1629,Falcon
8/2/2019 8:20,112784.6835,Falcon
8/2/2019 8:30,99970.92311,Falcon
8/2/2019 8:40,87025.67233,Falcon
8/2/2019 8:50,76443.31732,Falcon
8/2/2019 9:00,64090.69685,Falcon
8/2/2019 9:10,51274.47399,Falcon

